ean,article,name,brand,basis,price,kcal,kj,fat,satfat,carb,sugar,fibre,protein,salt,source
7350060089396,101548914_ST,Virshle,Al Madina,100 gram,"86,12 kr",304.2,1261.6,27.0,15.7,1.0,1.0,,17.6,2.8,hemkop
8719200303553,101779026_ST,Visp 31%,Flora By Milda,100 milliliter,"12,25 kr",305.0,1278.0,32.0,30.0,4.3,3.6,,2.4,0.1,hemkop
8719200303522,101779025_ST,Visp Låg Laktos 24%,Flora By Milda,100 milliliter,"12,25 kr",240.0,990.0,24.0,21.0,3.5,3.3,,2.2,0.1,hemkop
7311043009558,101553728_ST,Visp Växtbaserad Fetthalt 23%,Garant,100 milliliter,"27,39 kr",250.0,1046.0,23.0,22.0,10.0,5.0,,0.8,0.1,hemkop
7310865026392,100419049_ST,Vispgrädde 36%,Arla Köket,100 gram,"20,14 kr",345.0,1423.0,36.0,23.0,3.0,3.0,,2.3,0.06,hemkop
7310865061935,101175195_ST,Vispgrädde 36%,Arla Köket,100 gram,"33,09 kr",345.0,1423.0,36.0,23.0,3.0,3.0,,2.3,0.06,hemkop
7340083464287,101279850_ST,Vispgrädde 40%,Garant,100 gram,"20,50 kr",370.0,1550.0,40.0,26.0,3.0,3.0,,2.1,0.1,hemkop
7311041065006,101173885_ST,Vispgrädde 40%,Garant,100 gram,"30,23 kr",370.0,1550.0,40.0,26.0,3.0,3.0,,2.1,0.1,hemkop
7340083452567,101258068_ST,Vispgrädde Ekologisk 40%,Garant Eko,100 gram,"23,11 kr",375.0,1565.0,40.0,26.0,2.9,2.9,,2.2,0.05,hemkop
7310865684752,101274935_ST,Vispgrädde Färsk 40%,Arla Ko,100 gram,"22,68 kr",375.0,1565.0,40.0,26.0,2.9,2.9,,2.2,0.05,hemkop
7310865003201,100230741_ST,Vispgrädde Färsk 40%,Arla Ko,100 gram,"33,97 kr",375.0,1565.0,40.0,26.0,2.9,2.9,,2.2,0.05,hemkop
6408432095733,101208201_ST,Vispgrädde Laktosfri 35%,Valio,100 gram,"34,97 kr",336.0,1383.0,35.0,21.0,3.0,3.0,,2.2,0.07,hemkop
6408432000959,101509088_ST,Vispgrädde Laktosfri 35%,Valio,100 gram,"23,61 kr",336.0,1383.0,35.0,21.0,3.0,3.0,,2.2,0.07,hemkop
7340083436017,101222630_ST,Vispgrädde Laktosfri 36%,Garant,100 gram,"20,85 kr",346.0,1423.0,36.0,23.0,3.1,3.0,,2.3,0.06,hemkop
7340083440458,101232590_ST,Vispgrädde Laktosfri 36%,Garant,100 gram,"31,97 kr",346.0,1423.0,36.0,23.0,3.1,3.0,,2.3,0.06,hemkop
7311043006786,101543406_ST,Vispgrädde Laktosfri 40%,Garant,100 gram,"21,72 kr",375.0,1565.0,40.0,26.0,2.9,2.9,,2.2,0.05,hemkop
7311041065013,101173865_ST,Vispgrädde Lång Hållbarhet 36%,Garant,100 gram,"28,34 kr",345.0,1423.0,36.0,23.0,3.0,3.0,,2.3,0.06,hemkop
7310861003090,101425898_ST,Vispgrädden Lång Hållbarhet 36%,Norrmejerier,100 gram,"34,02 kr",340.0,1400.0,36.0,23.0,3.1,3.0,,2.2,0.1,hemkop
